               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1248,            0.034929,            0.083219,           0.0040025,             0.13992,            0.012533,           0.0039581,             0.10897,            0.027899,            0.078706,              0.0712,              0.0032,              0.0032
                   1,             0.10584,            0.039814,            0.073956,             0.44886,            0.084348,            0.019711,           0.0054892,             0.10201,            0.031262,            0.068162,            0.039355,            0.004355,            0.004355
                   2,            0.095082,             0.03954,            0.065713,             0.33638,              0.1048,            0.048302,            0.022201,             0.08998,            0.028814,            0.062281,            0.005332,            0.003332,            0.003332
                   0,             0.12442,            0.035747,            0.083008,           0.0038165,             0.16285,            0.011929,           0.0042111,             0.10946,            0.027099,            0.078626,              0.0712,              0.0032,              0.0032
                   1,             0.10539,            0.040929,            0.072449,             0.35172,            0.072751,             0.02002,           0.0067003,             0.10069,             0.03161,            0.065784,            0.041285,           0.0062855,           0.0062855
                   2,            0.097196,            0.038094,            0.060489,             0.53665,              0.1193,            0.040847,              0.0125,             0.10357,            0.027674,            0.057721,            0.011153,           0.0091532,           0.0091532
                   3,            0.094006,            0.037256,            0.055395,             0.55927,             0.15259,             0.11234,            0.043503,            0.086168,            0.024477,            0.051663,             0.00901,             0.00901,             0.00901
                   4,            0.088075,            0.036219,            0.050918,             0.64865,             0.18093,             0.13561,            0.055311,            0.084524,            0.023294,            0.047779,             0.00901,             0.00901,             0.00901
                   5,            0.083973,            0.035168,            0.048794,             0.69804,             0.18252,             0.18737,            0.079624,             0.07854,            0.022628,            0.044796,             0.00868,             0.00868,             0.00868
                   6,            0.080651,            0.036209,            0.046582,             0.68189,             0.21724,             0.21855,            0.099379,            0.077801,            0.021742,            0.042622,             0.00835,             0.00835,             0.00835
                   7,            0.079437,             0.03555,            0.044141,             0.68608,             0.25851,             0.23697,             0.11026,            0.075268,            0.021075,            0.040836,             0.00802,             0.00802,             0.00802
                   8,            0.077593,            0.034982,            0.042786,             0.72628,             0.21405,             0.25227,              0.1162,            0.071759,             0.02101,            0.039698,             0.00769,             0.00769,             0.00769
                   9,             0.07681,            0.034767,            0.041985,             0.70804,              0.2443,              0.2575,             0.11246,            0.072574,            0.020729,            0.038725,             0.00736,             0.00736,             0.00736
                  10,            0.074969,            0.033938,            0.040255,             0.70827,             0.28196,             0.30258,             0.14124,            0.069736,            0.020861,            0.037645,             0.00703,             0.00703,             0.00703
                  11,            0.074882,            0.035158,            0.040027,             0.74764,             0.27749,             0.31324,             0.15621,            0.068149,            0.020619,            0.036162,              0.0067,              0.0067,              0.0067
                  12,            0.072352,            0.033652,            0.038015,             0.75256,             0.29446,             0.31027,             0.15177,             0.06887,            0.020514,            0.035259,             0.00637,             0.00637,             0.00637
                  13,            0.071902,            0.033321,            0.036421,             0.69157,             0.31233,               0.309,             0.15509,            0.068772,            0.020391,            0.034273,             0.00604,             0.00604,             0.00604
                  14,             0.07201,            0.033186,            0.035962,             0.78206,              0.2966,             0.32846,              0.1556,            0.067734,            0.020497,            0.033576,             0.00571,             0.00571,             0.00571
                  15,            0.071601,            0.032974,            0.035117,              0.8057,             0.32029,              0.3452,              0.1811,            0.065221,            0.020523,            0.033062,             0.00538,             0.00538,             0.00538
                  16,            0.068062,            0.032592,            0.034386,             0.78808,             0.30807,             0.33835,             0.17186,            0.066454,            0.020381,            0.032809,             0.00505,             0.00505,             0.00505
                  17,            0.069187,            0.031259,            0.033104,             0.76655,             0.30694,             0.34452,             0.17638,            0.066155,             0.02062,            0.032529,             0.00472,             0.00472,             0.00472
